userId,userName,role,designation,joinDate
1,Rene Schulist,Employee,Dynamic Operations Technician,2024-01-13
2,Ken Walsh I,Employee,Chief Accountability Associate,2024-09-05
3,Oliver Bogan,Employee,Dynamic Web Facilitator,2024-08-23
4,Frank McClure,Employee,Chief Quality Technician,2023-10-13
5,Cornelius Rolfson Sr.,Employee,Forward Branding Consultant,2024-10-07
6,Brandi Vandervort,Employee,Chief Research Developer,2023-10-25
7,Kelley Mueller,Employee,Chief Creative Analyst,2024-01-08
8,Yvonne Donnelly,Employee,Central Configuration Coordinator,2024-09-21
9,Melinda Bartoletti DDS,Employee,Lead Branding Officer,2023-10-14
10,Ivan Waelchi Jr.,Employee,Senior Directives Developer,2024-07-27
11,Dr. Grant Metz IV,Employee,Senior Intranet Officer,2024-06-15
12,Lonnie Schuppe I,Employee,Internal Group Coordinator,2024-02-11
13,Delia Yundt,Employee,Regional Web Specialist,2024-04-14
14,Patricia Halvorson,Employee,International Tactics Engineer,2024-07-30
15,Lawrence Johnston,Employee,Central Accounts Designer,2024-01-23
16,Trevor Yundt III,Employee,Direct Identity Architect,2023-10-25
17,Jodi Nikolaus,Employee,Regional Response Facilitator,2024-09-29
18,Tiffany Marks I,Employee,Product Communications Liaison,2024-01-03
19,Bert Flatley III,Employee,Senior Security Consultant,2024-05-13
20,Dennis Lindgren,Employee,Product Solutions Consultant,2024-09-20
21,Sharon Huel,Employee,Corporate Paradigm Assistant,2023-12-25
22,Anthony Lowe,Employee,International Configuration Designer,2024-06-20
23,Lora Lebsack,Employee,District Response Consultant,2024-08-03
24,Jason Bashirian III,Employee,International Factors Executive,2024-05-06
25,Bertha Rosenbaum,Employee,Direct Accounts Administrator,2024-01-01
26,Spencer Mann,Employee,Lead Configuration Analyst,2024-05-25
27,Francis Walsh,Admin,Customer Research Facilitator,2024-02-08
28,Johnnie Wilderman,Employee,International Usability Executive,2024-01-12
29,Abraham Gorczany,Employee,Future Implementation Administrator,2024-02-21
30,Caroline Lemke,Employee,Central Factors Specialist,2024-07-07
31,Inez Powlowski,Employee,National Program Specialist,2023-10-29
32,Dr. Norma Homenick,Employee,Product Optimization Analyst,2024-03-09
33,Heidi Pollich,Employee,Principal Data Director,2024-08-22
34,Vernon Schuster,Employee,Central Optimization Architect,2024-05-10
35,Dean McLaughlin,Employee,Central Functionality Manager,2024-07-03
36,Lisa Wiegand,Employee,Chief Factors Agent,2024-04-14
37,Ralph Rutherford,Employee,Internal Directives Administrator,2024-01-25
38,Ervin Kuhic,Employee,District Optimization Supervisor,2024-06-05
39,Brett Langworth,Employee,Investor Operations Specialist,2023-12-06
40,Dr. Sadie Gleichner,Employee,Direct Program Strategist,2024-03-29
41,Rodolfo Sanford,Employee,Corporate Operations Administrator,2024-08-23
42,Antoinette Maggio,Employee,Product Operations Representative,2024-09-27
43,Mr. Christopher Yost,Employee,International Operations Coordinator,2023-10-25
44,Kristie Quigley,Employee,International Factors Consultant,2024-08-16
45,Phil Bednar,Employee,Investor Quality Consultant,2024-09-18
46,Hazel Kris,Employee,Forward Metrics Manager,2024-05-01
47,Francis Bernier,Employee,Forward Accounts Analyst,2024-06-29
48,Bessie Abbott DVM,Employee,Customer Interactions Strategist,2024-03-16
49,Gregory McGlynn,Employee,Legacy Mobility Liaison,2024-09-01
50,Noel Bosco,Employee,Dynamic Optimization Supervisor,2024-05-25
51,Gregg Mertz,Employee,Chief Creative Consultant,2024-07-04
52,Angelo Von,Employee,Dynamic Accountability Analyst,2024-01-11
53,Jerome Hoeger,Employee,District Group Designer,2023-10-31
54,Dr. Carla Kautzer,Employee,Direct Factors Analyst,2024-05-14
55,Juana Sawayn,Employee,Central Paradigm Assistant,2024-03-18
56,Geraldine Kovacek,Employee,Human Paradigm Facilitator,2023-10-13
57,Ms. Sonya Goyette,Employee,District Implementation Facilitator,2024-05-12
58,Carlos Raynor,Employee,Human Research Facilitator,2023-12-06
59,Alfred Lehner,Employee,International Optimization Coordinator,2024-09-17
60,Bryan Zemlak,Admin,District Response Engineer,2024-07-19
61,Stella Rohan,Employee,Central Response Administrator,2023-11-06
62,Drew Morissette II,Employee,Direct Implementation Specialist,2024-02-04
63,Clarence Bins,Employee,Central Accounts Facilitator,2024-08-22
64,Derek Nicolas,Employee,Internal Markets Specialist,2023-10-31
65,Jenny O'Conner,Employee,Investor Tactics Agent,2024-04-09
66,Holly Becker,Employee,District Implementation Orchestrator,2024-03-13
67,Jill Schuppe,Employee,Investor Program Supervisor,2024-03-28
68,Mike Parisian,Employee,Central Interactions Analyst,2024-03-09
69,Jackie Pollich IV,Employee,Global Accounts Producer,2024-09-13
70,Carolyn Kuhlman,Employee,Legacy Mobility Engineer,2024-07-04
