"userId","userName","email","password","role","designation","gender","joinDate"
1,"Brian Davis","Stephen_Larkin@gmail.com","$2b$10$yqHYs.qvHwefEpWNFfgm3OZwsFZ/nhnHADM3aZ13L2XwyAxhWnewC","Employee","Designation 5","Male","2024-03-29"
2,"Marsha Wilderman","Angelica31@gmail.com","$2b$10$lnKnaFGa03P7fbS6XgBWte5Pbn0CXjfW9k8eV8sOdpqIJ46me5H7K","Employee","Designation 9","Male","2024-06-13"
3,"Noah Bogisich-Hauck","Arianna8@yahoo.com","$2b$10$xLRMDofJGmUSe7gq4Rn1juDJpK2Qt4A1SPuKr0xlRCuF0HPrvJYNG","Employee","Designation 5","Male","2024-10-09"
4,"Bryant Parker","Lucas_Littel59@gmail.com","$2b$10$qDkbzSIxROSdVKOgVhQ6Nu.JnI4goi8BjJoN93PzYAk4LR4aq/oiy","Employee","Designation 5","Male","2024-02-08"
5,"Cecilia Lehner","Candelario_Turner12@hotmail.com","$2b$10$f95r1Q5HYoFe.yG0jQcfP.S3Vw4LAK3C54kR0OMpqVUrGk9xUbFf2","Employee","Designation 6","Female","2024-01-18"
6,"Dewey King","Adrian_Gibson24@gmail.com","$2b$10$Wrqtn4l6QE6JmGK.bIwdK..9r68q1jgiFsBTVgZpjyL4FdN/3SlbS","Employee","Designation 8","Female","2024-08-08"
7,"Ms. Judy MacGyver","Jackie.Emard@hotmail.com","$2b$10$VEFHEIojr7ZukpDPO/9BXO2hVjmmjSFlv7xpyR.qjQe62.xiVoHpC","Employee","Designation 4","Female","2024-04-14"
8,"Henrietta Bins-Oberbrunner","Casandra85@hotmail.com","$2b$10$xl.JqzVyTRvNsIqc6d81wOJaCM0GLGnfwJNewgExEq1WtM38q6Fl6","Employee","Designation 6","Male","2024-06-26"
9,"Jean Goldner","Ena74@hotmail.com","$2b$10$SeMPfN1.IQ.noPkvapDHveZKx5AlaNQXsy9NDpVOR5it5XmlOahoa","Employee","Designation 6","Male","2024-03-12"
10,"Cathy Okuneva","Noemi23@yahoo.com","$2b$10$3M7GYelvzCjm0gN1Zb6U5O6gQXLlWStapk3Rjp..FWxQFqsIchi3.","Employee","Designation 3","Female","2024-01-04"
11,"Dennis Hudson","Liam.Dickens56@hotmail.com","$2b$10$zbe0GkenvFDQXpSp5swHJ.TWMKexdolsOZlBl/kVIDrdgeDt9c9eO","Employee","Designation 10","Male","2024-02-15"
12,"Anita Mohr","Dixie_Witting@yahoo.com","$2b$10$p5MSmbpPoF/1DImvF9zKRO2I6KJIJXMlURqHE.hXV7LDDABz.LUXG","Employee","Designation 5","Male","2024-03-30"
13,"Jasmine Hyatt","Abner_Abbott@gmail.com","$2b$10$tHLqSpbmZffCIIfhMPKQN.w8jQ6jPsNE6CDa45onNGmCrALQEcrya","Employee","Designation 2","Female","2024-07-24"
14,"Andres Lind Jr.","Regan39@hotmail.com","$2b$10$GhtTApF605vY/p4grCd4PuWKiLB8lvZvObZg8WrDZIF1o34S3Hb1W","Employee","Designation 6","Female","2023-11-17"
15,"Owen Hauck","Trinity_West27@yahoo.com","$2b$10$B2Y.RQtVNhfDKSLIX8qSq.j0YDE.jpq3.D6tk5oHz9LuvXFanGQqm","Employee","Designation 6","Female","2024-01-01"
16,"Marcus Lueilwitz","Jude_Kassulke@hotmail.com","$2b$10$9//aSpGm7BxmD9By1Dc4q.ASVvAgrgWSJaj7KFvqS4sqO.qo3ho62","Employee","Designation 9","Female","2024-09-08"
17,"Miranda Kilback","Arnaldo34@hotmail.com","$2b$10$.CW2W.lOYn/8K5nGgQqNpunSTLMABH1LqJNc5ESrssiJdWIA9L8Pm","Employee","Designation 3","Male","2024-07-11"
18,"Rodolfo Cruickshank III","Octavia65@gmail.com","$2b$10$IeiDvHP../4D/4RT7Tv5UeKlyB9EH2pnpnTus3ik1sCDncjtvCwN2","Employee","Designation 4","Male","2024-07-29"
19,"Mike Hand","Santiago64@hotmail.com","$2b$10$V5S2jHQMmA5qk9ZvCt3VNu8zvVFco1n7yDNltHBYpLk3luEjkAtBq","Employee","Designation 6","Female","2023-12-22"
20,"Wallace Leannon","Zula.Abbott61@yahoo.com","$2b$10$RjVV1jpdOpYZPH2YiF8MyOXjPnMAlDzJ8glKU762wIghwun8VL8aO","Employee","Designation 3","Female","2024-10-01"
21,"Irma Lakin","Gerson85@yahoo.com","$2b$10$vcJmy6ljjAcuJMIKVgvEd.lXtHMnfMyDXjDslxjtDWs8WHm0N8DB2","Employee","Designation 2","Female","2024-02-19"
22,"Lindsey O'Conner","Cortney.Bartoletti@hotmail.com","$2b$10$kvXJ5kGDm/.aXQhG4Mu8EeBhe6/ZspyiYkO9Vj8fkDPPqoDiC5x4m","Employee","Designation 6","Male","2024-03-07"
23,"Dennis Price","Vida_Renner@hotmail.com","$2b$10$8kHrEI25.crw1W34TEED.urK4q23g5yQSD9dLZgVq1Gf2Un55kXg2","Employee","Designation 6","Male","2024-09-04"
24,"Tasha Pollich","Cordelia.Ruecker74@hotmail.com","$2b$10$G8ixYv.UKpjo/A8FkSw34.AdVEyJOcvie2kW/uLWtgmRoRjeoIZ3e","Employee","Designation 6","Male","2024-09-03"
25,"Luke Crist","Lourdes_Beer58@yahoo.com","$2b$10$vk.WwVhxvIOZO3sZku0Qv.us3cUM9Huo.WPlYsjtSAS2q3ujt2PXW","Employee","Designation 5","Male","2024-01-02"
26,"Roberto Towne","Briana.DuBuque12@yahoo.com","$2b$10$3ny8eQfr4Lna.gifMcUtNerVLeT5PwpjOWM2PweeNVRLLVqlIu1V2","Employee","Designation 8","Female","2024-07-24"
27,"Penny Zemlak III","Turner_Witting@gmail.com","$2b$10$4t7C7c/wtZyvAR0/wAgwReIbFpD1EcCNjBEe1l8jF31UiJZdZ6TEK","Employee","Designation 1","Female","2024-01-09"
28,"Ollie Wyman","Gertrude_Cronin87@gmail.com","$2b$10$JrTuTQoBLmDg7igygZV41u8x42idFFwRqTeDH0i4ot1cthk/raqOW","Employee","Designation 7","Male","2024-03-26"
29,"Kent Bogisich","Kara84@gmail.com","$2b$10$VGgesYQLSTtlRL2.Jq4acefxOgoKAdm8XRUOwj00dhDqzhe0YXUcW","Employee","Designation 3","Male","2023-11-29"
30,"Cesar Medhurst","Bernie.Krajcik@yahoo.com","$2b$10$tdXXrIbB2An4J6sTj.J6n.1xc3Kk0LgsHlZ/pdKaeZjOjI6QYEpMu","Employee","Designation 2","Male","2023-11-12"
31,"Ms. Shawna McGlynn","Sonny.Larkin@hotmail.com","$2b$10$IwED1IOrmdcZMeWvaa.lA.FRakrZl1PifdOZyjy0pBOjmxhGoHZxi","Employee","Designation 2","Male","2023-11-01"
32,"Sherri Pouros","Jaydon.Huels@yahoo.com","$2b$10$oGNvNImANslNcuYq2/MRp.dKFbEKsLPzg4MsSOBXMPFMc8cwCv5F2","Employee","Designation 6","Male","2024-04-04"
33,"Donna Baumbach","Chaz_Collier73@hotmail.com","$2b$10$U1ENgn7FALROVPlVioUx/uvheabaU/MKVuPYUf.DDIEN0vS.W6K1.","Employee","Designation 10","Female","2024-07-18"
34,"Adam Schamberger","Arnoldo23@gmail.com","$2b$10$md9FhwX0ZGjKVj6RAsid8e0crurtqWJEvNcnFpIExiXJ8Ox3a55nC","Employee","Designation 3","Female","2024-09-14"
35,"Connie Moen","Lia_Koepp-Stokes39@gmail.com","$2b$10$USHTa4dBPq3ESS9YysOpu.Zc1.wNO475ezfbair2sz4DmAnvKSfi.","Employee","Designation 8","Male","2023-12-01"
36,"Orville Corkery","Josie34@yahoo.com","$2b$10$MAVmlbSt2ydW2mOVFyec7ORcpQmZOoI2g9kaon495t1P730R92iEy","Employee","Designation 7","Female","2024-05-11"
37,"Miss Ann Bauch","Kaci23@hotmail.com","$2b$10$SVs6ExNhcik67V2249uExeIQ90FJE1TzM6qSbcfBquvKvTw.Lz17G","Employee","Designation 5","Male","2024-08-11"
38,"Armando Mosciski","Jay92@yahoo.com","$2b$10$1ArEp2tWTxN8FSShGiB0Au6OSIsZ3xgAb2lML1v9Yyy21M7cCGg5S","Employee","Designation 8","Female","2024-04-23"
39,"Gloria Medhurst","Theresia32@gmail.com","$2b$10$dYvhUdtmSHkbDuiEqaCSmunTAAZdnWxAlOtEtqwH.B2/GySmxnsl6","Employee","Designation 5","Female","2023-11-01"
40,"Ora Christiansen","Daisha96@hotmail.com","$2b$10$h3bQqLE.wvkvzyTtjZRE3.zDhuRG6pSTRl.oE.4ZymYvzlcvf/lb.","Employee","Designation 4","Male","2024-06-29"
